KEY,Ⅰ,#Ⅰ,ⅱ,#ⅱ,ⅲ,Ⅳ,#Ⅳ,Ⅴ,#Ⅴ,ⅵ,#ⅵ,ⅶ
C_Key,C,"C#,Db",D,"D#,Eb",E,F,"F#,Gb",G,"G#,Ab",A,"A#,Bb",B
F_Key,F,"F#,Gb",G,"G#,Ab",A,Bb,B,C,"C#,Db",D,"D#,Eb",E
Bb_Key,Bb,B,C,"C#,Db",D,Eb,E,F,"F#,Gb",G,"G#,Ab",A
Eb_Key,Eb,E,F,"F#,Gb",G,Ab,A,Bb,B,C,"C#,Db",D
Ab_Key,Ab,A,Bb,B,C,Db,D,Eb,E,F,"F#,Gb",G
Db_Key,Db,D,Eb,E,F,Gb,G,Ab,A,Bb,B,C
Gb_Key,Gb,G,Ab,A,Bb,B,C,Db,D,Eb,E,F
B_Key,B,C,C#,D,D#,E,F,F#,G,G#,A,A#
E_Key,E,F,F#,"F#,Gb",G#,A,"A#,Bb",B,C,C#,D,D#
A_Key,A,"A#,Bb",B,C,C#,D,"D#,Eb",E,F,F#,G,G#
D_Key,D,"D#,Eb",E,F,F#,G,"G#,Ab",A,"A#,Bb",B,C,C#
G_Key,G,"G#,Ab",A,"A#,Bb",B,C,"C#,Db",D,"D#,Eb",E,F,F#
