Pattern,Count
"('弘', '打', '它m', '戊')",16
"('打', '它m', '戊', '弘')",14
"('它m', '戊', '弘', '打')",14
"('戊', '弘', '打', '它m')",14
"('打', '它m', '戊', '打')",2
"('弘', '打', '它m', '戊', '弘')",13
"('打', '它m', '戊', '弘', '打')",14
"('它m', '戊', '弘', '打', '它m')",14
"('戊', '弘', '打', '它m', '戊')",14
"('弘', '打', '它m', '戊', '打')",2
"('弘', '打', '它m', '戊', '弘', '打')",13
"('打', '它m', '戊', '弘', '打', '它m')",14
"('它m', '戊', '弘', '打', '它m', '戊')",14
"('戊', '弘', '打', '它m', '戊', '弘')",11
"('戊', '弘', '打', '它m', '戊', '打')",2
"('弘', '打', '它m', '戊', '弘', '打', '它m')",13
"('打', '它m', '戊', '弘', '打', '它m', '戊')",14
"('它m', '戊', '弘', '打', '它m', '戊', '弘')",11
"('戊', '弘', '打', '它m', '戊', '弘', '打')",11
"('它m', '戊', '弘', '打', '它m', '戊', '打')",2
"('弘', '打', '它m', '戊', '弘', '打', '它m', '戊')",13
"('打', '它m', '戊', '弘', '打', '它m', '戊', '弘')",11
"('它m', '戊', '弘', '打', '它m', '戊', '弘', '打')",11
"('戊', '弘', '打', '它m', '戊', '弘', '打', '它m')",11
"('打', '它m', '戊', '弘', '打', '它m', '戊', '打')",2
