,제목,링크,조회수,업로드
0,[ 𝑷𝒍𝒂𝒚𝒍𝒊𝒔𝒕 ]  코딩할때 듣기 좋은 노래 • lofi type beat • 3 hours,https://www.youtube.com/watch?v=cbuZfY2S2UQ&pp=ygUG7L2U65Sp,2540만회,3년 전
1,코딩 & 공부할때 듣는 음악 - 집중할때 듣기 좋은 편안한 Lo-Fi 재즈,https://www.youtube.com/watch?v=CfPxlb8-ZQ0&pp=ygUG7L2U65Sp,1727만회,3년 전
2,초보자를 위한 Python - 1시간 안에 Python 배우기,https://www.youtube.com/watch?v=kqtD5dpn9C8&pp=ugMICgJrbxABGAHKBQbsvZTrlKk%3D,1616만회,3년 전
3,[코드스테이츠] 코딩만큼은 탄탄하게 배우자 (Full ver.),https://www.youtube.com/watch?v=ZwrnyPTlbJY&pp=ygUG7L2U65Sp,544만회,1년 전
4,파이썬 코딩 무료 강의 (기본편) - 6시간 뒤면 여러분도 개발자가 될 수 있어요 [나도코딩],https://www.youtube.com/watch?v=kWiCuklohdY&pp=ygUG7L2U65Sp,510만회,4년 전
5,일반인이 생각하는 프로그래밍 vs 현실 프로그래밍 #Shorts,https://www.youtube.com/shorts/cXB8rCW7lto,41만회,3년 전
6,[Playlist] 일하면서 틀어 놓기 좋은 잔잔한 8시간 재즈 플레이리스트 | Jazz 노래모음 카페 공부 독서 재택 코딩,https://www.youtube.com/watch?v=HfaIcB4Ogxk&pp=ygUG7L2U65Sp,59만회,1년 전
7,💻코딩 쥰내 잘하는 개발자 특 ㅋㅋㅋㅋ #Shorts,https://www.youtube.com/shorts/0SHxoFCrv-0,91만회,1년 전
8,고등학생과의 구글 코딩 인터뷰,https://www.youtube.com/watch?v=qz9tKlF431k&pp=ugMICgJrbxABGAHKBQbsvZTrlKk%3D,16만회,3년 전
9,"[PLAY LIST] 코딩 , 과제 할때 듣기 좋은 노래 모음 1hour lofi music",https://www.youtube.com/watch?v=iaXReFOr9YY&pp=ygUG7L2U65Sp,22만회,3년 전
10,누가누가 진짜일까? | 52화 진짜 지니강이를 찾아라! | 헤이지니&럭키강이 | #딩딩코딩TV | #ㅋㄷㅋㄷ코딩TV,https://www.youtube.com/watch?v=UAaeyCKr43s&pp=ygUG7L2U65Sp,40만회,4년 전
11,코딩할 때 듣기 좋은 로파이 재즈 힙합  (playlist)/𝕝𝕠𝕗𝕚 𝕛𝕒𝕫𝕫 𝕙𝕚𝕡𝕙𝕠𝕡 𝟙𝕙𝕣,https://www.youtube.com/watch?v=nxKfi-6EtmY&pp=ygUG7L2U65Sp,463만회,3년 전
12,코딩할때 듣기 좋은 노래 • 3 hours playlist • lofi type beat • beats to relax • study music,https://www.youtube.com/watch?v=nhAR2-WIM-I&pp=ygUG7L2U65Sp,419만회,3년 전
13,코딩 / 과제 할 때 집중 해서 듣기 좋은 음악 • Relaxing lofi beats to study music • Lofi Coding Beats,https://www.youtube.com/watch?v=4LIt_ICJyjk&pp=ygUG7L2U65Sp,401만회,3년 전
14,파이썬 코딩 무료 강의 (활용편1) - 추억의 오락실 게임을 만들어 보아요. 3시간이면 충분합니다. [나도코딩],https://www.youtube.com/watch?v=Dkx8Pl6QKW0&pp=ygUG7L2U65Sp,40만회,3년 전
15,같은 포즈 취하기! | 9화 몸으로 말해요 | 지니 강이 | 딩딩 코딩TV | ㅋㄷㅋㄷ코딩TV,https://www.youtube.com/watch?v=bsVpx5DxVY8&pp=ygUG7L2U65Sp,95만회,5년 전
16,"도서관에서 공부할 때 최대의 효과가 필요하다 | 3시간 로파이 힙합 믹스 / 공부, 일을 위한 로파이 음악",https://www.youtube.com/watch?v=hGrIgIfCxP0&pp=ygUG7L2U65Sp,84만회,1년 전
17,[ 𝑷𝒍𝒂𝒚𝒍𝒊𝒔𝒕 ] 코딩할때 듣기 좋은 노래 | 3 hour playlist | Lofi hip hop mix ~ jazzhop ~ relax beats,https://www.youtube.com/watch?v=Xc1Le3CSdrM&pp=ygUG7L2U65Sp,96만회,3년 전
18,급하다 급해! | 27화 폭탄을 넘겨라 | 헤이지니 럭키강이 | 딩딩 코딩TV | ㅋㄷㅋㄷ코딩TV,https://www.youtube.com/watch?v=gUhT7FhqLdQ&pp=ygUG7L2U65Sp,29만회,5년 전
19,무조건 공감되는 코딩 입문자 특징 ㅋㅋㅋ #Shorts,https://www.youtube.com/shorts/_9sU1Q_AGMU,25만회,1년 전
