구,구_동,세대수,인구_합계
장안구,파장동,10686,23833
장안구,율천동,20351,45076
장안구,정자1동,11014,29569
장안구,정자2동,12553,30030
장안구,정자3동,14333,42383
장안구,영화동,10629,21752
장안구,송죽동,8880,19855
장안구,조원1동,12767,28674
장안구,조원2동,6577,18937
장안구,연무동,8491,17097
권선구,세류1동,4445,11482
권선구,세류2동,12243,25749
권선구,세류3동,9157,20235
권선구,평동,16535,41380
권선구,서둔동,16777,38662
권선구,구운동,10675,25035
권선구,금 곡 동,17285,45877
권선구,호매실동,17169,46673
권선구,권선1동,13007,25325
권선구,권선2동,17294,49131
권선구,곡선동,14449,27805
권선구,입북동,6184,16841
팔달구,행궁동,6654,11541
팔달구,매교동,3308,6715
팔달구,매산동,6100,12675
팔달구,고등동,8991,21931
팔달구,화서1동,9904,24227
팔달구,화서2동,9683,26556
팔달구,지동,5766,12179
팔달구,우만1동,10794,20842
팔달구,우만2동,7602,17372
팔달구,인계동,21528,40581
영통구,매탄1동,7722,19205
영통구,매탄2동,6529,15382
영통구,매탄3동,15684,36773
영통구,매탄4동,9475,22113
영통구,원천동,18037,39858
영통구,영통1동,12648,35846
영통구,영통2동,13103,26778
영통구,영통3동,13384,34313
영통구,망포1동,10908,31446
영통구,망포2동,9481,28150
영통구,광교1동,21872,53404
영통구,광교2동,11598,29533
